energy,7bcea01794773fc317d8fb5a8ea7c275,4c32a0a4f1938ddc47bf6ad0b748658e
-10.6762134838703,5.237023228503163e-07,7.029955389023893e-230
-10.665343459573169,7.28296292047895e-07,9.554335457540474e-229
-10.654473435276039,1.0091746804359334e-06,1.290164366192967e-227
-10.643603410978908,1.3933468530433258e-06,1.7309568454268933e-226
-10.632733386681778,1.916844065376109e-06,2.3074063273966028e-225
-10.621863362384648,2.6275378236213418e-06,3.056036652120097e-224
-10.61099333808752,3.5887715765354723e-06,4.0215148678913265e-223
-10.60012331379039,4.884018552945286e-06,5.257961956436383e-222
-10.589253289493259,6.622827474531559e-06,6.830332427722572e-221
-10.578383265196129,8.948376050770389e-06,8.815823431430953e-220
-10.567513240898998,1.2047020798724727e-05,1.130526029980745e-218
-10.556643216601868,1.6160312019086486e-05,1.4404390616467335e-217
-10.545773192304738,2.1600035836632598e-05,1.823500364461112e-216
-10.534903168007608,2.8766952080833038e-05,2.2935777117684618e-215
-10.524033143710477,3.8174018218283995e-05,2.866274008759965e-214
-10.513163119413347,5.047502599144726e-05,3.5589230028597005e-213
-10.502293095116217,6.64997288310226e-05,4.3905216144973484e-212
-10.491423070819089,8.729670382124705e-05,5.381586033870549e-211
-10.480553046521958,0.00011418537052287794,6.553919404366047e-210
-10.469683022224828,0.00014881877779753167,7.930280446129702e-209
-10.458812997927698,0.0001932589652008829,9.533944868645937e-208
-10.447942973630568,0.0002500669023406819,1.1388154939369417e-206
-10.437072949333437,0.00032240920097676904,1.3515457118467009e-205
-10.426202925036307,0.00041418397184225125,1.5936933167346912e-204
-10.415332900739177,0.0005301683503977612,1.8671336439035199e-203
-10.404462876442047,0.0006761903300149108,2.1734151923084802e-202
-10.393592852144916,0.0008593276021884275,2.5136605722392243e-201
-10.382722827847786,0.0010881360938436084,2.88846565830924e-200
-10.371852803550658,0.001372910792102436,3.2978008420284916e-199
-10.360982779253527,0.0017259812356753342,3.7409187984855894e-198
-10.350112754956397,0.002162043706696699,4.2162735398877265e-197
-10.339242730659267,0.0026985316539798548,4.721455678222124e-196
-10.328372706362137,0.0033560251951446347,5.25314872058029e-195
-10.317502682065006,0.004158699658930522,5.807110845832968e-194
-10.306632657767876,0.005134812020830665,6.378185947301684e-193
-10.295762633470746,0.006317222739580286,6.96034677780443e-192
-10.284892609173616,0.00774394890932987,7.546771825813982e-191
-10.274022584876485,0.009458742800387932,8.12995612932182e-190
-10.263152560579355,0.011511687777532913,8.701854661625258e-189
-10.252282536282227,0.013959801277722353,9.254055280988236e-188
-10.241412511985097,0.01686763203039366,9.777976616407487e-187
-10.230542487687966,0.020307836060024537,1.0265084763168175e-185
-10.219672463390836,0.024361713284847517,1.0707121382823198e-184
-10.208802439093706,0.029119683796950128,1.1096334833006466e-183
-10.197932414796576,0.03468168027384459,1.1425705369262917e-182
-10.187062390499445,0.04115743054259824,1.1689155318532808e-181
-10.176192366202315,0.04866660222225906,1.1881735450844757e-180
-10.165322341905185,0.05733877974831095,1.1999779571567466e-179
-10.154452317608055,0.06731324308261913,1.2041020590107853e-178
-10.143582293310924,0.07873851718606814,1.200466293180989e-177
-10.132712269013796,0.09177166202924951,1.1891408061986653e-176
-10.121842244716666,0.10657727468086184,1.1703431978128886e-175
-10.110972220419535,0.12332617796926564,1.144431567914858e-174
-10.100102196122405,0.1421937744609339,1.1118931715540284e-173
-10.089232171825275,0.16335805010792107,1.0733291841297704e-172
-10.078362147528145,0.18699721891157925,1.02943624205582e-171
-10.067492123231014,0.21328700830847586,9.80985550130858e-171
-10.056622098933884,0.242397594627776,9.288004293105541e-170
-10.045752074636754,0.27449020875663327,8.737332142582543e-169
-10.034882050339624,0.3097134438759738,8.166423987008568e-168
-10.024012026042493,0.348199309522441,7.583708709301518e-167
-10.013142001745365,0.3900590889586321,6.99725987104496e-166
-10.002271977448235,0.4353790695003974,6.414621037900718e-165
-9.991401953151104,0.4842162276142501,5.842660424233218e-164
-9.980531928853974,0.536593961780674,5.287457968830188e-163
