energy,7bcea01794773fc317d8fb5a8ea7c275,4c32a0a4f1938ddc47bf6ad0b748658e
-10.6762134838703,1.2707037615969235e-174,0.0
-10.665343459573169,6.965620114192836e-174,0.0
-10.654473435276039,3.804566054951031e-173,0.0
-10.643603410978908,2.070524363427587e-172,0.0
-10.632733386681778,1.1227561295195e-171,0.0
-10.621863362384648,6.06625130135862e-171,0.0
-10.61099333808752,3.2657672798541097e-170,0.0
-10.60012331379039,1.7517815284761917e-169,0.0
-10.589253289493259,9.362773667381853e-169,0.0
-10.578383265196129,4.986076994940482e-168,0.0
-10.567513240898998,2.645716521624242e-167,0.0
-10.556643216601868,1.3988060799681802e-166,0.0
-10.545773192304738,7.368881735017477e-166,0.0
-10.534903168007608,3.8679026491765058e-165,0.0
-10.524033143710477,2.022923019447736e-164,0.0
-10.513163119413347,1.054175821732598e-163,0.0
-10.502293095116217,5.47364489673651e-163,0.0
-10.491423070819089,2.831848791809674e-162,0.0
-10.480553046521958,1.4598000512952228e-161,0.0
-10.469683022224828,7.498019440639849e-161,0.0
-10.458812997927698,3.8373341872091535e-160,0.0
-10.447942973630568,1.956782504839892e-159,0.0
-10.437072949333437,9.942265671075975e-159,0.0
-10.426202925036307,5.033360588366815e-158,0.0
-10.415332900739177,2.538987704632617e-157,0.0
-10.404462876442047,1.2761244347956332e-156,0.0
-10.393592852144916,6.390801440125589e-156,0.0
-10.382722827847786,3.188948440142676e-155,0.0
-10.371852803550658,1.5855120381854993e-154,0.0
-10.360982779253527,7.854552797223395e-154,0.0
-10.350112754956397,3.8770665523383297e-153,0.0
-10.339242730659267,1.9068429343629308e-152,0.0
-10.328372706362137,9.344508448384946e-152,0.0
-10.317502682065006,4.5627626024432316e-151,0.0
-10.306632657767876,2.219878263907656e-150,0.0
-10.295762633470746,1.0761190448338125e-149,0.0
-10.284892609173616,5.197821358546097e-149,0.0
-10.274022584876485,2.5015676639278427e-148,0.0
-10.263152560579355,1.1995905413051722e-147,0.0
-10.252282536282227,5.731703075819148e-147,0.0
-10.241412511985097,2.7287528911597454e-146,0.0
-10.230542487687966,1.2944181882980981e-145,0.0
-10.219672463390836,6.11807614386529e-145,0.0
-10.208802439093706,2.8812770636318984e-144,0.0
-10.197932414796576,1.35202598806113e-143,0.0
-10.187062390499445,6.321424134023529e-143,0.0
-10.176192366202315,2.9449280864180884e-142,0.0
-10.165322341905185,1.3669868319097292e-141,0.0
-10.154452317608055,6.322427257795356e-141,0.0
-10.143582293310924,2.9136221142949517e-140,0.0
-10.132712269013796,1.3378655825641394e-139,0.0
-10.121842244716666,6.120989171732153e-139,0.0
-10.110972220419535,2.7903624196138095e-138,0.0
-10.100102196122405,1.2674460739837405e-137,0.0
-10.089232171825275,5.736252234792002e-137,0.0
-10.078362147528145,2.58676432331407e-136,0.0
-10.067492123231014,1.1622922937313939e-135,0.0
-10.056622098933884,5.203597871300901e-135,0.0
-10.045752074636754,2.321250282309875e-134,0.0
-10.034882050339624,1.0317395646485482e-133,0.0
-10.024012026042493,4.5692831738580025e-133,0.0
-10.013142001745365,2.016303645741812e-132,0.0
-10.002271977448235,8.865304771696976e-132,0.0
-9.991401953151104,3.883839537801938e-131,0.0
-9.980531928853974,1.695347616258905e-130,0.0
-9.969661904556844,7.373711040495677e-130,0.0
-9.958791880259714,3.195533261315785e-129,0.0
-9.947921855962583,1.379845442009263e-128,0.0
-9.937051831665453,5.936731635779283e-128,0.0
-9.926181807368323,2.5450379631093478e-127,0.0
-9.915311783071193,1.0871037289686191e-126,0.0
-9.904441758774063,4.626766465956679e-126,0.0
-9.893571734476934,1.962067961188711e-125,0.0
-9.882701710179804,8.290493561443914e-125,0.0
-9.871831685882674,3.4904112496291182e-124,0.0
-9.860961661585543,1.4642076995776147e-123,0.0
-9.850091637288413,6.120101798487944e-123,0.0
-9.839221612991283,2.548851179755293e-122,0.0
-9.828351588694153,1.0576943516629681e-121,0.0
